,title,location,ppp_number,price
378,RUMAH EASTERN PARK RESIDENCE,Raya Sukolilo Mulia Keputih,PPP Number : OXMRW-00000098,"IDR 1,150,000,000"
379,JUAL CEPAT RUMAH NORTHWEST LAKE MALAWI D...,northwest,PPP Number : OXMDP-00000662,"IDR 1,200,000,000"
380,DIJUAL RUMAH KALIJUDAN BARAT,Kalijudan Barat,PPP Number : OXMMJ-00003469,"IDR 1,190,000,000"
381,RUMAH DAN RUKO REGENCY ONE EASPOINT DEKA...,Regency One Easpoint,PPP Number : OXMMR-00000663,"IDR 700,000,000"
382,RUMAH ARDENVILLE RESIDENCE HUNIAN MILENI...,Ardenville Residence,PPP Number : OXMMR-00000662,"IDR 789,000,000"
383,DIJUAL MURAH RUMAH HOOK PANTAI MENTARI,0antai mentari,PPP Number : OXMHR-00000856,"IDR 1,400,000,000"
384,DI JUAL RUMAH WONOREJO SELATAN SURABAYA,Wonorejo selatan surabaya,PPP Number : OXMBL-00001425,"IDR 975,000,000"
385,RUMAH BARU MINIMALIS DI WISMA TIRTA GAUN...,Gununganyar,PPP Number : OXMTP-00008805,"IDR 790,000,000"
386,RUMAH BARU NORTHWEST PARK CITRALAND,Citraland Northwwest Park,PPP Number : OXMHV-00000685,"IDR 900,000,000"
387,LEBAK SCANDAVIAN!! BARU GRESS DEKAT KENJ...,lebak,PPP Number : OXMVR-00001802,"IDR 1,400,000,000"
388,LEBAK 800JUTAAN!! BARU GRESS SCANDAVIAN ...,lebak,PPP Number : OXMVR-00001801,"IDR 850,000,000"
389,PERUMAHAN RUNGKUT!!! MURAH BARU GRESS KO...,rungkut,PPP Number : OXMVR-00001800,"IDR 1,250,000,000"
390,DIJUAL RUMAH WIGUNA SELATAN,Wiguna Selatan,PPP Number : OXMTP-00008789,"IDR 1,050,000,000"
391,HUNIAN NYAMAN SBY BARAT WISATA BUKIT MAS...,Wisata Bukit Mas (Paddington),PPP Number : OXMCI-00003283,"IDR 1,500,000,000"
392,DIJUAL RUMAH MINIMALIS DI GRAND HARVEST,Grand Harvest,PPP Number : OXMRW-00000094,"IDR 1,500,000,000"
393,LEBAK!!! PALING MURAH BARU GRESS KAMAR 4...,lebak,PPP Number : OXMVR-00001789,"IDR 1,450,000,000"
394,WIGUNA SELATAN,"Wiguna, selatan",PPP Number : OXMTS-00001184,"IDR 1,050,000,000"
395,JUAL RUMAH THE ROYAL PARK RESIDENCE - GU...,The Royal Park Residence - Gununganyar,PPP Number : OXMMJ-00003455,"IDR 850,000,000"
396,DIJUAL CEPAT RUMAH 2 LANTAI KEDUNG ASEM ...,rungkut,PPP Number : OXMMG-00000820,"IDR 1,500,000,000"
397,DIJUAL CEPAT RUMAH BARU 2 LT WISMA KEDUN...,kedung asem,PPP Number : OXMMG-00000817,"IDR 1,200,000,000"
398,KARANG EMPAT MURAH!! LANGKA-JARANG ADA B...,Karangempat,PPP Number : OXMVR-00001782,"IDR 1,200,000,000"
399,DIJUAL RUMAH BARU DI SUTOREJO SURABAYA D...,Sutorejo,PPP Number : OXMBL-00001418,"IDR 1,500,000,000"
400,DIJUAL RUMAH BARU GRESS KENCANA RESIDENC...,Kencana Residence 2,PPP Number : OXMTP-00008752,"IDR 975,000,000"
401,DI JUAL RUMAH JELIDRO SAMBIKEREP SURABAY...,Jelidro surabaya,PPP Number : OXMBL-00001414,"IDR 600,000,000"
402,DI JUAL RUMAH HITUNG TANAH TAMAN PONDOK ...,taman pondok indah surabaya,PPP Number : OXMBL-00001412,"IDR 1,000,000,000"
403,DI JUAL RUMAH KOST KEMLATEN BARU KEBRAON...,Kemlaten baru kebraon surabaya,PPP Number : OXMBL-00001411,"IDR 1,500,000,000"
404,GUNUNG ANYAR 725JUTA MURAH BANGET,gunung anyar,PPP Number : OXMGH-00000819,"IDR 725,000,000"
405,RUNGKUT MAPAN BARU SIAP HUNI BISA DPT PE...,rungkut mapan,PPP Number : OXMGH-00000818,"IDR 1,350,000,000"
406,DI JUAL RUMAH GRESS BONUS KITCHEN SET,Medokan Sawah Timur 4,PPP Number : OXMBL-00001408,"IDR 1,050,000,000"
407,DI JUAL RUMAH GUNUNG ANYAR EMA SURABAYA,Gunung anyar emas surabaya,PPP Number : OXMBL-00001407,"IDR 895,000,000"
408,PLOSO!! MURAH 1LANTAI DEKAT UNAIR DR.SOE...,ploso,PPP Number : OXMVR-00001772,"IDR 670,000,000"
409,MULYOSARI!! MURAH 1LANTAI SIAP HUNI 900J...,mulyosari,PPP Number : OXMVR-00001771,"IDR 975,000,000"
410,MULYOSARI!! RUMAH MINIMALIS DEKAT UNAIR ...,mulyosari,PPP Number : OXMVR-00001770,"IDR 1,500,000,000"
411,DI JUAL RUMAH BENDUL MERISI SURABAYA,Bendul merisi surabaya,PPP Number : OXMBL-00001404,"IDR 1,200,000,000"
412,DI JUAL RUMAH RUNGKUT MAPAN BARAT SURABA...,Rungkut mapan barat surabaya,PPP Number : OXMBL-00001403,"IDR 1,350,000,000"
413,DIJUAL 2 RUMAH JEJER SUTOREJO TIMUR DEKA...,Sutorejo Timur,PPP Number : OXMMR-00000634,"IDR 1,300,000,000"
414,DI JUAL RUMAH DUKUH BULAK BANTENG SURAPA...,Dukuh bulak banteng surapati surabaya,PPP Number : OXMBL-00001402,"IDR 650,000,000"
415,DI JUAL RUMAH SENTRA POINT GUNUNG ANYAR ...,Sentra point gunung anyar surabaya,PPP Number : OXMBL-00001397,"IDR 850,000,000"
416,DI JUAL RUMAH DUKUH KUPANG BARAT SURABAY...,Dukuh kupang barat surabaya,PPP Number : OXMBL-00001391,"IDR 1,150,000,000"
417,"DIJUAL RUMAH YANG ASRI, LINGKUNGAN TENAN...",Darmo Indah Timur,PPP Number : OXMTJ-00000494,"IDR 1,000,000,000"
418,JUAL CEPAT! RUMAH BARU MINIMALIS DI RUNG...,Rungkut Barata,PPP Number : OXMEC-00003558,"IDR 1,200,000,000"
419,DIJUAL RUMAH NIRWANA REGENCY CLUSTER TER...,Nirwana Regency,PPP Number : OXMMR-00000627,"IDR 1,500,000,000"
420,PROPERTY RUMAH NORTHWEST HILL CITRALAND ...,Northwest hill,PPP Number : OXMTP-00008704,"IDR 1,200,000,000"
421,RUMAH MINIMALIS CANTIK GRESS 2LANTAI LOK...,Grand pakuwon,PPP Number : OXMTP-00008701,"IDR 1,390,000,000"
422,RUMAH R1 BABATAN KENJERAN BARU MINIMALIS...,Babatan,PPP Number : OXMTP-00008699,"IDR 1,200,000,000"
423,RUMAH BAGUS MINIMALIS 2LT LOKASI R1 BABA...,Babatan,PPP Number : OXMTP-00008694,"IDR 1,200,000,000"
424,TERMURAHH!! RUMAH MINIMALIS GRAND PAKUWO...,Grand pakuwon,PPP Number : OXMTP-00008692,"IDR 1,390,000,000"
425,DIJUAL RUMAH *PLOSO TIMUR - SURABAYA TIM...,Ploso Timur,PPP Number : OXMMJ-00003425,"IDR 950,000,000"
426,DIJUAL RUMAH NORTH WEST PARK,"Jl. Pucang Jajar Utara No.33, RT.002/RW.01, Kertajaya",PPP Number : OXMMJ-00003424,"IDR 800,000,000"
427,DI JUAL RUMAH MINIMALIS NORTHWEST LAKE,Northwest,PPP Number : OXMRW-00000055,"IDR 900,000,000"
428,RUMAH RUNGKUT GRIYA PERMATA ASRI,griya pesona asri,PPP Number : OXMGH-00000809,"IDR 900,000,000"
429,DI JUAL RUMAH MINIMALIS NORTHWEST LAKE,Northwest,PPP Number : OXMRW-00000053,"IDR 1,450,000,000"
430,JUAL RUMAH NEW GRESS DAERAH CITRALAND UT...,Daerah Citraland Utara Surabaya,PPP Number : OXMMJ-00003418,"IDR 1,290,000,000"
431,PROPERTY RUMAH MEWAH NEW GRESS MINIMALIS...,Rungkut mapan,PPP Number : OXMTP-00008680,"IDR 1,350,000,000"
432,RUMAH RUNGKUT MAPAN NEW GRESS MEWAH MINI...,Rungkut mapan,PPP Number : OXMTP-00008679,"IDR 1,350,000,000"
433,RUMAH GRESS MEWAH MINIMALIS 2LANTAI LOKA...,Rungkut mapan,PPP Number : OXMTP-00008670,"IDR 1,350,000,000"
434,DI JUAL RUMAH MINIMALIS NORTHWEST LAKE,Northwest,PPP Number : OXMRW-00000049,"IDR 1,200,000,000"
435,JUAL RUMAH PONDOK MARITIM,Pondok Maritim,PPP Number : OXMNC-00002477,"IDR 1,150,000,000"
436,JUAL RUMAH ALAM HIJAU,Alam Hijau,PPP Number : OXMNC-00002476,"IDR 1,200,000,000"
437,RUMAH BARU GRESS EASTERN PARK TIPE CAMIL...,Eastern park,PPP Number : OXMHR-00000839,"IDR 1,500,000,000"
438,RUMAH GRAND HARVEST,Perumahan Grand Harvest,PPP Number : OXMRW-00000046,"IDR 1,200,000,000"
439,DIJUAL RUMAH SIAP HUNI WONOREJO SELATAN ...,Wonorejo Selatan,PPP Number : OXMMR-00000617,"IDR 750,000,000"
440,DIJUAL CEPAT RUMAH BAGUS 2 LANTAI LEBAK ...,lebak,PPP Number : OXMMG-00000810,"IDR 1,500,000,000"
441,DIJUAL CEPAT RUMAH SUPER MURAH RUNGKUT M...,rungkut mapan,PPP Number : OXMMG-00000800,"IDR 1,450,000,000"
442,DIJUAL CEPAT RUMAH BUTUH RENOV RUNGKUT M...,rungkut mapan,PPP Number : OXMMG-00000799,"IDR 1,250,000,000"
443,DIJUAL CEPAT RUMAH SHM RUNGKUT MAPAN SUR...,rungkut mapan,PPP Number : OXMMG-00000798,"IDR 1,000,000,000"
444,DIJUAL CEPAT RUMAH 2 LANTAI RUNGKUT MAPA...,rungkut mapan,PPP Number : OXMMG-00000797,"IDR 1,500,000,000"
445,DIJUAL CEPAT RUMAH SUTOREJO 2 LT TERMURA...,sutorejo,PPP Number : OXMMG-00000790,"IDR 1,375,000,000"
446,DIJUAL CEPAT RUMAH MINIMALIS 2 LANTAI GU...,gunung anyar,PPP Number : OXMMG-00000786,"IDR 675,000,000"
447,JUAL RUMAH RUNGKUT MAPAN BARAT 9,Rungkut Mapan Barat 9,PPP Number : OXMNC-00002468,"IDR 1,450,000,000"
448,MURAH LEBAR 6 RUMAH MULYOSARI MINIMALIS ...,mulyosari,PPP Number : OXMVR-00001766,"IDR 1,500,000,000"
449,RUMAH KUTISARI INDAH MODERN MINIMALIS 2L...,Kutisari Indah,PPP Number : OXMCI-00003276,"IDR 1,400,000,000"
450,RUMAH KUTISARI INDAH CIAMIK MODERN MINIM...,Kutisari Indah,PPP Number : OXMCI-00003275,"IDR 1,350,000,000"
451,RUMAH KUTISARI INDAH BARU GRESS CIAMIK S...,Kutisari Indah,PPP Number : OXMCI-00003274,"IDR 1,200,000,000"
452,PROPERTY RUMAH GUNUNGANYAR SURABAYA SELA...,Gununganyar,PPP Number : OXMTP-00008667,"IDR 1,500,000,000"
453,RUMAH GUNUNGANYAR SURABAYA SELATAN 2LANT...,Gununganyar,PPP Number : OXMTP-00008660,"IDR 1,500,000,000"
454,RUMAH TERAWAT 2LANTAI LOKASI DI GUNUNGAN...,Gununganyar,PPP Number : OXMTP-00008657,"IDR 1,500,000,000"
455,MURAH BARU GRESS KARANG ASEM STRATEGIS D...,Karang Asem,PPP Number : OXMVR-00001758,"IDR 1,200,000,000"
456,MURAH RUMAH MUNGIL LEBAK DEKAT RAYA KENJ...,lebak,PPP Number : OXMVR-00001755,"IDR 550,000,000"
457,DIJUAL RUMAH SIAP HUNI SEMAMPIR DEKAT ME...,Semampir,PPP Number : OXMMR-00000610,"IDR 1,200,000,000"
458,BUTUH CEPAT LAKU,Wonorejo Rungkut,PPP Number : FSXMNC-00002456,"IDR 500,000,000"
459,TAMAN ARJUNO SAWAHAN,taman Arjuno sawahan,PPP Number : FSXMNC-00002455,"IDR 663,000,000"
460,RUMAH KAMPUNG SURABAYA KOTA,PONDOK BENOWO INDAH,PPP Number : FSXMNC-00002454,"IDR 596,000,000"
461,MURAH 1LANTAI LEBAR 7 RUMAH RUNGKUT PERU...,rungkut,PPP Number : OXMVR-00001748,"IDR 850,000,000"
462,PLOSO TIMUR - SIAP HUNI,Di jual rumah  Ploso timur,PPP Number : OXMMJ-00003405,"IDR 950,000,000"
463,DIJUAL RUMAH KUTISARI INDAH,Kutisari indah barat,PPP Number : OXMTP-00008599,"IDR 1,200,000,000"
464,DIJUAL RUMAH BARU MINIMALIS 2 LANTAI DI ...,Northwest Lake,PPP Number : OXMDI-00001994,"IDR 1,350,000,000"
465,"DIJUAL CEPAT HARGA HITUNG TANAH, KONDISI...",Darmo Harapan Indah,PPP Number : OXMTP-00008591,"IDR 1,500,000,000"
466,RUMAH KEBRAON HUNIAN SURABAYA LOKASI PAD...,Kebraon,PPP Number : OXMCI-00003254,"IDR 1,200,000,000"
467,DIJUAL RUMAH KUTISARI SELATAN,Kutisari selatan,PPP Number : FSXMTP-00008564,"IDR 650,000,000"
468,MURAH RUMAH PROGRESS KUTISARI HARGA 1M-A...,kutisari,PPP Number : OXMVR-00001737,"IDR 1,150,000,000"
469,MURAH RUMAH PROGRESS KUTISARI HARGA 1M D...,kutisari,PPP Number : OXMVR-00001736,"IDR 1,000,000,000"
470,MURAH RUMAH PROGRESS KUTISARI HARGA 1M D...,Kutisari,PPP Number : OXMVR-00001735,"IDR 1,000,000,000"
471,MURAH UNIT TERAKHIR RUMAH BARU KUTISARI ...,kutisari,PPP Number : OXMVR-00001734,"IDR 1,350,000,000"
472,MURAH SATU-SATUNYA HOOK RUMAH BARU BARAT...,rungkut,PPP Number : OXMVR-00001732,"IDR 1,250,000,000"
473,MURAH RUMAH BARU RUNGKUT KOMPLEK ONE GAT...,rungkut,PPP Number : OXMVR-00001731,"IDR 1,200,000,000"
474,"DKT UNIVERSITAS PETRA, RUNGKUT INDUSTRI",KUTISARI INDAH BARAT,PPP Number : OXMTS-00001178,"IDR 1,000,000,000"
475,RUNGKUT 700JUTAAN GRYA PESONA ASRI,rungkut medokan,PPP Number : OXMGH-00000797,"IDR 775,000,000"
476,RUMAH SHM DARMO SIAP HUNI DEKAT PTC,Simpang Darmo permai selatan,PPP Number : OXMNY-00001594,"IDR 1,035,000,000"
477,DIJUAL CEPAT RUMAH BARU 2 LANTAI CITRALA...,north West lake,PPP Number : OXMMG-00000772,"IDR 1,150,000,000"
478,DIJUAL CEPAT RUMAH BARU 2 LANTAI CITRALA...,citraland,PPP Number : OXMMG-00000766,"IDR 1,100,000,000"
479,JUAL HITUNG HARGA DIBAWAH PASAR RUNGKUT ...,rungkut menanggal,PPP Number : OXMHR-00000828,"IDR 1,400,000,000"
480,DI JUAL RUMAH GRIYA AMERTA REGENCY SURAB...,GRIYA amerta regency surabaya,PPP Number : OXMBL-00001365,"IDR 750,000,000"
481,DI JUAL RUMAH GUNUNG ANYAR EMAS SURABAYA,Gunung anyar emas surabaya,PPP Number : OXMBL-00001363,"IDR 895,000,000"
482,DI JUAL RUMAH MEDAYU UTARA SURABAYA,Medayu utara surabaya,PPP Number : OXMBL-00001362,"IDR 695,000,000"
483,DI JUAL RUMAH NYAMPLUNGAN SURABAYA,Nyamplungan surabaya,PPP Number : OXMBL-00001359,"IDR 850,000,000"
484,DI JUAL RUNAH SIMO GUNUNG BARAT SURABAYA,Simo gunung barat surabaya,PPP Number : OXMBL-00001356,"IDR 1,100,000,000"
485,HARMONI KUTISARI SELATAN 2 BLOK B,Harmoni Kutisari Selatan 2,PPP Number : OXMEC-00003510,"IDR 1,055,000,000"
486,HARMONI KUTISARI SELATAN 2 BLOK A,Harmoni Kutisari Selatan 2,PPP Number : OXMEC-00003509,"IDR 950,000,000"
487,RUMAH BARU SPRINGVILLE RESIDENCE TAHAP 2...,Springville Residence Tahap 2,PPP Number : OXMEC-00003484,"IDR 1,254,000,000"
488,RUMAH BARU MINIMALIS HRG 895 JT DKT TOL ...,Gn anyar mas,PPP Number : OXMTS-00001177,"IDR 895,000,000"
489,RUMAH BARU KEPUTIH SUKOLILO MINIMALIS 2L...,keputih sukolilo,PPP Number : OXMVR-00001727,"IDR 1,350,000,000"
490,RUMAH BARU LEBAK 1LANTAI DEKAT KENJERAN ...,lebak,PPP Number : OXMVR-00001726,"IDR 650,000,000"
491,MURAH RUMAH BARU KARANG EMPAT MINIMALIS ...,karang empat,PPP Number : OXMVR-00001725,"IDR 1,450,000,000"
492,JUAL RUMAH PLOSO TIMUR,Ploso Timur,PPP Number : OXMNC-00002444,"IDR 1,250,000,000"
493,RUMAH BARU KARANG EMPAT DEKAT KENJERAN D...,karang empat,PPP Number : OXMVR-00001724,"IDR 1,250,000,000"
494,TERBARU TERMURAH RUMAH BARU KARANGASEM M...,karang asem,PPP Number : OXMVR-00001723,"IDR 1,150,000,000"
495,RUMAH BARU KARANG ASEM 2LANTAI MINIMALIS...,karang asem,PPP Number : OXMVR-00001722,"IDR 1,250,000,000"
496,RUMAH BARU KARANG ASEM 2LANTAI DEKAT TEN...,karang asem,PPP Number : OXMVR-00001721,"IDR 1,500,000,000"
497,MURAH RUMAH BARU KARANG ASEM KAMAR 4 DEK...,karang asem,PPP Number : OXMVR-00001720,"IDR 1,300,000,000"
498,MURAH RUMAH BARU MINIMALIS KALIJUDAN DEK...,kalijudan,PPP Number : OXMVR-00001719,"IDR 1,300,000,000"
499,DIJUAL RUMAH LEBAK ARUM,Lebak Arum,PPP Number : OXMTP-00008540,"IDR 1,000,000,000"
500,RUMAH BARU SURABAYA DEKAT TOL MURAH THE ...,raya lakarsantri,PPP Number : OXMNY-00001592,"IDR 900,000,000"
501,RUMAH NORTH WEST PARK EXT CITRALAND TIPE...,Citraland,PPP Number : OXMEC-00003448,"IDR 1,427,438,000"
502,RUMAH NORTH WEST PARK EXT CITRALAND TIPE...,Citraland,PPP Number : OXMEC-00003447,"IDR 1,295,422,000"
503,RUMAH NORTH WEST PARK EXT CITRALAND TIPE...,Citraland,PPP Number : OXMEC-00003446,"IDR 1,096,740,000"
504,RUMAH NORTH WEST PARK EXT CITRALAND TIPE...,Citraland,PPP Number : OXMEC-00003445,"IDR 989,027,000"
505,DIJUAL CEPAT RUMAH DUKUH KUPANG TIMUR SU...,Jl Dukuh Kupang Timur Surabaya Barat,PPP Number : OXMCI-00003252,"IDR 1,450,000,000"
506,RUMAH BARU SEMOLOWARU KOMPLEK ONE GATE D...,Semolowaru,PPP Number : OXMVR-00001717,"IDR 1,350,000,000"
507,RUMAH MURAH GALVALUM WIGUNA 1LANTAI LEBA...,wiguna,PPP Number : OXMVR-00001710,"IDR 1,175,000,000"
508,RUMAH MURAH LEBAK DEKAT KENJERAN MERR SI...,lebak,PPP Number : OXMVR-00001709,"IDR 1,050,000,000"
509,DIJUAL CEPAT RUMAH WIGUNA,wiguna,PPP Number : OXMTP-00008511,"IDR 975,000,000"
510,DIJUAL RUMAH DI SIDOSERMO SURABAYA,Sidosermo,PPP Number : OXMVR-00001708,"IDR 1,400,000,000"
511,RUMAH1LANTAI LEBAK BARU RENOVASI LOKASI ...,lebak,PPP Number : OXMVR-00001700,"IDR 1,100,000,000"
512,DIJUAL RUMAH BARU PLOSO TIMUR,Ploso Timur,PPP Number : OXMBL-00001345,"IDR 1,300,000,000"
513,DIJUAL RUMAH BARU GRESS PLOSO TIMUR,Ploso Timur,PPP Number : OXMBL-00001344,"IDR 1,450,000,000"
514,DIJUAL RUMAH KOS SEMOLOWARU UTARA SURABA...,SEMOLOWARU UTARA,PPP Number : OXMTG-00002473,"IDR 900,000,000"
515,"DIJUAL RUMAH BAGUS MINIMALIS,  KOALA REG...",Koala Regency.,PPP Number : OXMMJ-00003346,"IDR 1,300,000,000"
516,RUMAH MURAH RANGKAH MINIMALIS DEKAT RAYA...,rangkah,PPP Number : OXMVR-00001692,"IDR 950,000,000"
517,RUMAH MURAH KARANG ASEM BANGUNAN 1LANTAI,Karang asem,PPP Number : OXMVR-00001691,"IDR 950,000,000"
518,RUMAH 2LANTAI MULYOSARI LEBAR 7,Mulyosari,PPP Number : OXMVR-00001690,"IDR 1,300,000,000"
519,DIJUAL RUMAH TAMBAK MEDOKAN AYU SURABAYA...,MEDOKAN AYU,PPP Number : OXMTG-00002465,"IDR 700,000,000"
520,HUNIAN NYAMAN CITRALAND NORTH WEST HILL ...,North West Hill,PPP Number : OXMCI-00003243,"IDR 1,400,000,000"
521,RUMAH LAMA SUTOREJO LEBAR 8 DEKAT FASUM,sutorejo,PPP Number : OXMVR-00001685,"IDR 1,500,000,000"
522,RUMAH LAMA SUTOREJO LEBAR 8 LOKASI DEPAN,sutorejo,PPP Number : OXMVR-00001684,"IDR 1,350,000,000"
523,DI JUAL RUNAH KENDUNG SENENI SURABAYA,kendung seneni surabaya,PPP Number : OXMBL-00001340,"IDR 700,000,000"
524,DI JUAL RUMAH KARAH AGUNG SURABAYA,Karah agung surabaya,PPP Number : OXMBL-00001335,"IDR 1,400,000,000"
525,DI JUAL TAMAN INDAH MENANGGAL SURABAYA,Taman indah menanggal,PPP Number : OXMBL-00001330,"IDR 1,008,000,000"
526,DI JUAL RUMAH BULAK BANTENG SURABAYA,Bulak banteng surabaya,PPP Number : OXMBL-00001327,"IDR 800,000,000"
527,DI JUAL RUNAH JAMBANGAN SURABAYA,Jambangan surabaya,PPP Number : OXMBL-00001320,"IDR 1,100,000,000"
528,DI JUAL RUMAH BRATANG WETAN SURABAYA,BRATANG WETAN surabaya,PPP Number : OXMBL-00001319,"IDR 1,300,000,000"
529,MURAH RUMAH BARU MEDOKAN BANGUNAN 1LANTA...,medayu,PPP Number : OXMVR-00001673,"IDR 525,000,000"
530,TERMURAH KAMAR 4+1 BARU GRESS RUMAH LEBA...,lebak,PPP Number : OXMVR-00001671,"IDR 1,450,000,000"
531,DIJUAL.RUMAH RUNGKUT ASRI UTARA,Rungkut asri Utara,PPP Number : OXMTP-00008457,"IDR 1,400,000,000"
532,JUAL RUMAH BABATAN PRATAMA,Babatan Pratama,PPP Number : OXMNC-00002430,"IDR 1,300,000,000"
533,DIJUAL RUMAH GUNUNG ANYAR DEKAT UPN,sentra points,PPP Number : OXMTP-00008454,"IDR 1,500,000,000"
534,JUAL CEPAT! RUMAH NORTHWEST PARK TIPE VI...,North West Park,PPP Number : OXMEC-00003436,"IDR 795,000,000"
535,JUAL CEPAT! RUMAH NORTHWEST PARK TIPE VI...,North West Park,PPP Number : OXMEC-00003435,"IDR 790,000,000"
536,"HARUS LAKU SEGERA, RUMAH RAYA WIGUNA SEL...",Raya Wiguna Selatan Indah,PPP Number : OXMEC-00003406,"IDR 1,500,000,000"
537,JUAL/SEWA RUMAH CITRALAND NORTH WEST HIL...,Citraland,PPP Number : OXMTP-00008446,"IDR 1,200,000,000"
538,DIJUAL RUMAH PANDUGO,Pandugo,PPP Number : OXMTP-00008445,"IDR 1,300,000,000"
539,DIJUAL CEPAT RUMAH BAGUS MULYOSARI TENGA...,mulyosari tengah,PPP Number : OXMMG-00000751,"IDR 950,000,000"
540,DIJUAL CEPAT RUMAH LUAS KUTISARI BARAT S...,kutisari barat,PPP Number : OXMMG-00000750,"IDR 1,500,000,000"
541,JUAL RUMAH JAMBANGAN KEBON AGUNG 1,Jambangan Kebon Agung 1,PPP Number : OXMNC-00002427,"IDR 1,100,000,000"
542,RUMAH SURABAYA TIMUR DIJUAL,Grand Semanggi Residence,PPP Number : OXMHR-00000817,"IDR 950,000,000"
543,JARANG ADA LEBAR 6 RUMAH MULYOSARI HARGA...,mulyosari,PPP Number : OXMVR-00001669,"IDR 1,200,000,000"
544,BARU RUMAH KARANG ASEM DESIGN MODERN STR...,Karang asem,PPP Number : OXMVR-00001666,"IDR 1,200,000,000"
545,RUMAH KARANGASEM HUNIAN NYAMAN 2LT SIAP ...,Karangasem,PPP Number : OXMCI-00003240,"IDR 1,500,000,000"
546,DIJUAL CEPAT RUMAH BAGUS WIGUNA TIMUR SU...,wiguna timur,PPP Number : OXMMG-00000731,"IDR 900,000,000"
547,RUMAH BABATAN INDAH KONDISI TERAWAT SIAP...,Babatan Indah,PPP Number : OXMCI-00003238,"IDR 1,500,000,000"
548,DIJUAL RUMAH NORTH WEST HILL 2 LANTAI,North West Hill,PPP Number : OXMEC-00003348,"IDR 1,200,000,000"
549,"JUAL CEPAT, RUMAH LEBAK ARUM 1 LANTAI SI...",Lebak Arum,PPP Number : OXMEC-00003337,"IDR 1,350,000,000"
550,KARANG EMPAT STRATEGIS,Karang Empat,PPP Number : OXMGH-00000780,"IDR 1,500,000,000"
551,RUMAH BARU 100M² PUTRA BANGSA RUNGKUT,Putra Bangsa,PPP Number : OXMGH-00000775,"IDR 875,000,000"
552,RUMAH DI GREEN SEMANGGI MANGROVE,Wonorejo,PPP Number : OXMHR-00000811,"IDR 800,000,000"
553,DIJUAL RUMAH SUKOLILO MURAH BANGET,Sukolilo Regency one,PPP Number : OXMTP-00008436,"IDR 1,100,000,000"
554,PROPERTY RUMAH MINIMALIS EASTERN PARK SU...,Sukolilo mulia,PPP Number : OXMTP-00008435,"IDR 1,150,000,000"
555,RUMAH NEW GRESS MINIMALIS LOKASI KARANG ...,Karang asem,PPP Number : OXMTP-00008433,"IDR 1,200,000,000"
556,RUMAH BARU GRESS MINIMALIS 2LANTAI LOKAS...,Karang asem,PPP Number : OXMTP-00008418,"IDR 1,200,000,000"
557,RUMAH EASTERN PARK SUKOLILO TYPE CAMILLA...,Sukolilo mulia,PPP Number : OXMTP-00008416,"IDR 1,150,000,000"
558,RUMAH MINIMALIS EASTERN PARK SUKOLILO TY...,Sukolilo mulia,PPP Number : OXMTP-00008415,"IDR 1,150,000,000"
559,RUMAH KARANG ASEM 2LANTAI BARU GRESS MIN...,Karang asem,PPP Number : OXMTP-00008413,"IDR 1,200,000,000"
560,DIJUAL CEPAT !! DIBAWAH PASARAN PERUM BA...,Lebak Indah Jaya,PPP Number : OXMTP-00008404,"IDR 1,200,000,000"
561,"SISA 3 UNIT, RUMAH BARU MINIMALIS DI PLO...",Ploso Timur,PPP Number : OXMEC-00003329,"IDR 1,450,000,000"
562,RUMAH BARU MINIMALIS MULYOSARI,Mulyosari,PPP Number : OXMEC-00003326,"IDR 1,500,000,000"
563,DIJUAL RUMAH MEDOKAN AYU RUNGKUT,Medokan ayu,PPP Number : OXMTP-00008403,"IDR 1,500,000,000"
564,BARU RUMAH MINIMALIS DI GUNUNG ANYAR SUR...,Gunung Anyar Emas,PPP Number : OXMDR-00001302,"IDR 895,000,000"
565,DIJUAL RUMAH DI MALANG JALAN IKAN NILA,ikan Nila,PPP Number : OXMHR-00000802,"IDR 1,500,000,000"
566,DIJUAL RUMAH MEDAYU UTARA RUNGKUT SURABA...,MEDAYU UTARA,PPP Number : OXMTG-00002456,"IDR 820,000,000"
567,DIJUAL RUMAH KOS GUBENG KERTAJAYA SURABA...,GUBENG KERTAJAYA,PPP Number : OXMTG-00002453,"IDR 1,450,000,000"
568,JUAL RUMAH SIAP HUNI,taman babatan pantai,PPP Number : OXMTP-00008402,"IDR 1,450,000,000"
569,TERMURAH LOKASI TERDEPAN RUMAH BARU 2LAN...,lebo agung,PPP Number : OXMHR-00000794,"IDR 1,150,000,000"
570,JUAL RUMAH SBY TIMUR GRESS SIAP HUNI,eastern park,PPP Number : OXMHR-00000793,"IDR 1,200,000,000"
571,DIJUAL RUMAH BARU PLOSO TIMUR,Ploso Timur,PPP Number : OXMBL-00001298,"IDR 670,000,000"
572,RUMAH BARU MINIMALIS SIMPANG DARMO PERMA...,Simpang Darmo Permai Selatan,PPP Number : OXMEC-00003257,"IDR 1,375,000,000"
573,DIJUAL RUMAH GREEN SEMANGGI MANGROVE,wisata Semanggi mangrove cluster agiceras,PPP Number : OXMTP-00008400,"IDR 875,000,000"
574,DIJUAL RUMAH WISATA SEMANGGI,wisata Semanggi,PPP Number : OXMTP-00008399,"IDR 900,000,000"
