,title,location,ppp_number,price
102,RUMAH KALIBUTUH BARAT TENGA KOTA 1LANTAI...,Kalibutuh barat,PPP Number : OXMTP-00009548,"IDR 560,000,000"
103,SEWA / JUAL RUMAH NORTHWEST PARK CITRALA...,Northwest Park,PPP Number : FSXMHR-00000920,"IDR 1,000,000,000"
104,DIJUAL RUMAH 2 LANTAI MINIMALIS NORTHWES...,northwest,PPP Number : OXMRW-00000193,"IDR 1,100,000,000"
105,PROPERTY RUMAH PANTAI MENTARI KENJERAN S...,Pantai mentari,PPP Number : OXMTP-00009530,"IDR 1,500,000,000"
106,PROPERTY RUMAH BAGUS PURIMAS GUNUNGANYAR...,Purimas,PPP Number : OXMTP-00009528,"IDR 1,300,000,000"
107,RUMAH PURIMAS GUNUNGANYAR 1LANTAI BAGUS ...,Purimas,PPP Number : OXMTP-00009527,"IDR 1,300,000,000"
108,RUMAH TERAWAT MURAH DI PANTAI MENTARI KE...,Pantai mentari,PPP Number : OXMTP-00009525,"IDR 1,500,000,000"
109,RUMAH PANTAI MENTARI KENJERAN SURABAYA M...,Pantai mentari,PPP Number : OXMTP-00009524,"IDR 1,500,000,000"
110,RUMAH PURIMAS GUNUNGANYAR SURABAYA CA 3....,Purimas,PPP Number : OXMTP-00009522,"IDR 1,300,000,000"
111,RAYA MEDOKAN ASRI UTARA,medokan asri utara,PPP Number : OXMRW-00000191,"IDR 1,400,000,000"
112,DIJUAL RUMAH BARU GRESS DI SEMEMI REJO A...,"Sememi Rejo Asri , Surabaya Barat.",PPP Number : OXMMJ-00003952,"IDR 599,000,000"
113,"DIJUAL RUMAH BARU GRESS DI TENGGER RAYA,...","Tengger Raya , Surabaya Barat.",PPP Number : OXMMJ-00003951,"IDR 660,000,000"
114,DIJUAL RUMAH DI KAPAS GADING REGENCY,Kapas Gading,PPP Number : OXMMJ-00003949,"IDR 1,100,000,000"
115,PROPERTY RUMAH PLOSO TIMUR 1LANTAI BAGUS...,Ploso timur,PPP Number : OXMTP-00009518,"IDR 1,100,000,000"
116,RUMAH BAGUS PLOSO TIMUR SURABAYA MINIMAL...,Ploso timur,PPP Number : OXMTP-00009517,"IDR 1,100,000,000"
117,RUMAH PLOSO SURABAYA BAGUS TERAWAT MURAH...,Lebak arum,PPP Number : OXMTP-00009512,"IDR 1,100,000,000"
118,"JUAL RUMAH DI EASTERN PARK, SURABAYA",Eastern Park,PPP Number : OXMTP-00009509,"IDR 1,050,000,000"
119,PROPERTY RUMAH LEBAK SURABAYA BARU GRESS...,Lebak jaya,PPP Number : OXMTP-00009508,"IDR 1,500,000,000"
120,RUMAH LEBAK JAYA BARU GRESS MINIMALIS 2L...,Lebak jaya,PPP Number : OXMTP-00009501,"IDR 1,500,000,000"
121,RUMAH BARU GRESS 1M-AN MINIMALIS 2LANTAI...,Lebak jaya,PPP Number : OXMTP-00009500,"IDR 1,500,000,000"
122,DIJUAL RUMAH MINIMALIS 2 LANTAI BARU GRE...,northwest,PPP Number : OXMRW-00000186,"IDR 1,100,000,000"
123,DI JUAL RUMAH PANDUGO SURABAYA,Pandugo surabaya,PPP Number : OXMBL-00001751,"IDR 1,300,000,000"
124,DI JUAL RUMAH GADING INDAH UTARA SURABAY...,GADING indah UTARA surabaya,PPP Number : OXMBL-00001750,"IDR 1,000,000,000"
125,RUMAH DEKAT PAKUWON MALL SAMBISARI SURAB...,sambisari,PPP Number : OXMEC-00003730,"IDR 1,450,000,000"
126,RUMAH PURIMAS GUNUNG ANYAR DEKAT UPN RUN...,Purimas Pecatu,PPP Number : OXMEC-00003729,"IDR 1,100,000,000"
127,DI JUAL RUMAH BULAK RUKEM TIMUR SURABAYA,BULAK rukem Timur surabaya,PPP Number : OXMBL-00001741,"IDR 600,000,000"
128,DIJUAL RUMAH MINIMALIS IKIP GUNUNG ANYAR...,Gununganyar Indah,PPP Number : OXMMG-00000937,"IDR 1,375,000,000"
129,DIJUAL RUMAH KUPANG JAYA,KUPANG JAYA,PPP Number : OXMMJ-00003933,"IDR 1,100,000,000"
130,PROPERTY RUMAH BARU 2LANTAI MINIMALIS RE...,Babatan pantai,PPP Number : OXMTP-00009488,"IDR 800,000,000"
131,PROPERTY RUMAH MINIMALIS BAGUS 2LANTAI M...,Wonorejo selatan,PPP Number : OXMTP-00009486,"IDR 610,000,000"
132,RUMAH MUNGIL MINIMALIS 2LANTAI MURAH 600...,Wonorejo selatan,PPP Number : OXMTP-00009483,"IDR 610,000,000"
133,RUMAH BARU REGENCY ONE MURAH!! MINIMALIS...,Babatan pantai,PPP Number : OXMTP-00009481,"IDR 800,000,000"
134,RUMAH BAGUS DIBAWAH 1M 2LANTAI DI PERUMA...,Babatan pantai,PPP Number : OXMTP-00009478,"IDR 800,000,000"
135,RUMAH 2LANTAI MURAH HANYA 600JTAN MINIMA...,Wonorejo selatan,PPP Number : OXMTP-00009476,"IDR 610,000,000"
136,RUMAH BARU 2LT MERR DI CLUSTER ELITE ONE...,MERR,PPP Number : OXMTP-00009474,"IDR 1,200,000,000"
137,DIJUAL MURAH RUMAH BARU GRESS  MINIMALIS...,Pandugo,PPP Number : OXMTP-00009472,"IDR 1,175,000,000"
138,RUMAH BARU SIAP HUNI READY! HNY 20 MTR D...,Rungkut,PPP Number : OXMTP-00009471,"IDR 1,400,000,000"
139,DIJUAL FULL FURNISH RUMAH MINIMALIS NORT...,northwest,PPP Number : OXMRW-00000185,"IDR 1,000,000,000"
140,PROPERTY RUMAH LEBAK KENJERAN SURABAYA 1...,Lebak,PPP Number : OXMTP-00009468,"IDR 1,300,000,000"
141,RUMAH LEBAK KENJERAN SURABAYA CA 3.379,Lebak,PPP Number : OXMTP-00009464,"IDR 1,300,000,000"
142,RUMAH LEBAK KENJERAN SURABAYA 1.5LANTAI ...,Lebak,PPP Number : OXMTP-00009457,"IDR 1,300,000,000"
143,DI JUAL RUMAH MEDOKAN SEMAMPIR INDAH SUR...,Medokan semampir indah surabaya,PPP Number : OXMBL-00001737,"IDR 1,000,000,000"
144,DI JUAL RUMAH KEDURUS DUKUH SURABAYA,Kedurus dukuh surabaya,PPP Number : OXMBL-00001732,"IDR 1,500,000,000"
145,DI JUAL RUMAH SIMOLAWANG SURABAYA,SIMOLAWANG surabaya,PPP Number : OXMBL-00001730,"IDR 1,450,000,000"
